namespace,extension,version,asset
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.93.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-pl,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-pl,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-pl,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-pl,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.media-preview.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.media-preview.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.media-preview.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.media-preview.i18n.json
MS-CEINTL,vscode-language-pack-fr,1.94.0,/extension/translations/extensions/vscode.markdown-language-features.i18n.json
MS-CEINTL,vscode-language-pack-fr,1.94.0,/extension/translations/extensions/vscode.markdown-language-features.i18n.json
MS-CEINTL,vscode-language-pack-fr,1.94.0,/extension/translations/extensions/vscode.markdown-language-features.i18n.json
MS-CEINTL,vscode-language-pack-fr,1.94.0,/extension/translations/extensions/vscode.markdown-language-features.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.github.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.94.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.94.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.94.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.94.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.merge-conflict.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.93.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.93.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.93.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.git-base.i18n.json
alingse,thrift-formatter,1.5.0,/extension/package.json
alingse,thrift-formatter,1.5.0,/extension/package.json
alingse,thrift-formatter,1.5.0,/extension/package.json
MS-CEINTL,vscode-language-pack-es,1.94.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-es,1.94.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-es,1.94.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.extension-editing.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.extension-editing.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.extension-editing.i18n.json
sjsepan,sjsepan-humanetoo,0.0.1,/extension/package.json
sjsepan,sjsepan-humanetoo,0.0.1,/extension/package.json
sjsepan,sjsepan-humanetoo,0.0.1,/extension/package.json
MS-CEINTL,vscode-language-pack-fr,1.94.0,/extension/translations/extensions/vscode.extension-editing.i18n.json
MS-CEINTL,vscode-language-pack-fr,1.94.0,/extension/translations/extensions/vscode.extension-editing.i18n.json
MS-CEINTL,vscode-language-pack-fr,1.94.0,/extension/translations/extensions/vscode.extension-editing.i18n.json
keller00,junglepup,2.1.2,/extension/package.json
keller00,junglepup,2.1.2,/extension/package.json
keller00,junglepup,2.1.2,/extension/package.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.emmet.i18n.json
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.emmet.i18n.json
sjsepan,sjsepan-blueishtoo,0.0.1,/extension/package.json
sjsepan,sjsepan-blueishtoo,0.0.1,/extension/package.json
sjsepan,sjsepan-blueishtoo,0.0.1,/extension/package.json
sjsepan,sjsepan-monsterish,0.0.3,/extension/package.json
sjsepan,sjsepan-monsterish,0.0.3,/extension/package.json
sjsepan,sjsepan-monsterish,0.0.3,/extension/package.json
MS-CEINTL,vscode-language-pack-ru,1.94.0,/extension/translations/extensions/vscode.github-authentication.i18n.json
